date,dining_only_revenue,non_dining_revenue,ppc_spend,meta_spend
24/12/2024,0,197320.388,0,0
25/12/2024,1442.56,315696.184,0,0
26/12/2024,12835.1976,3681598.692,0,0
27/12/2024,6889.8312,3976235.516,0,0
28/12/2024,11608.366,4726281.138,0,0
29/12/2024,11178.104,4697519.034,0,0
30/12/2024,11689.0823,4190184.045,0,0
31/12/2024,6716.77,3407196.876,0,0
01/01/2025,10170.174,3322556.728,0,0
02/01/2025,9086.4,4105613.157,0,0
03/01/2025,9247.8372,3218336.993,0,0
04/01/2025,10360.38,5038123.145,0,0
05/01/2025,12825,4220384.42,0,0
06/01/2025,6833.0304,2358062.453,0,0
07/01/2025,7395.045,2252914.194,0,0
08/01/2025,11381.856,2492452.087,0,0
09/01/2025,4303.8408,1404496.966,0,0
10/01/2025,7345.97,1759941.398,0,0
11/01/2025,6725.76,4167731.055,0,0
12/01/2025,10467.6936,3798100.148,0,0
13/01/2025,6549.9672,1855939.284,0,0
14/01/2025,8446.7652,1982772.114,0,0
15/01/2025,10915.0624,2261969.623,0,0
16/01/2025,3486.72,1217690.604,0,0
17/01/2025,6477.552,1404892.311,0,0
18/01/2025,4710.1936,3055743.404,0,0
19/01/2025,16869.6192,3534054.875,0,0
20/01/2025,4049.55,1618439.064,0,0
21/01/2025,6351.84,1481055.928,0,0
22/01/2025,5115.9528,1714013.346,0,0
23/01/2025,3240.8068,1267977.364,0,0
24/01/2025,5719.5,1388774.188,0,0
25/01/2025,9814.8336,3227278.923,0,0
26/01/2025,12305.92,3433231.467,0,0
27/01/2025,3095.82,1692592.793,0,0
28/01/2025,3806.55,1924642.7,0,0
29/01/2025,5081.571,1495989.933,0,0
30/01/2025,2733.75,1108584.332,0,0
31/01/2025,4664.7853,1474189.283,0,0
01/02/2025,9341.226,2422358.978,0,0
02/02/2025,10209.3964,2994555.807,0,0
03/02/2025,7638.624,1593048.558,0,0
04/02/2025,7123.038,1382838.891,0,0
05/02/2025,6069.0812,1214857.204,0,0
06/02/2025,7425.9276,1170739.531,0,0
07/02/2025,6264.8362,1189654.024,0,0
08/02/2025,6020.6286,2620015.886,0,0
09/02/2025,4050.39,2695860.349,0,0
10/02/2025,8092.744,1661292.798,0,0
